Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 30d
3,6,6,20,9,2.7,16.5,0.76,0.076,0.32,5,2.1,8.444180317,158
3,6,6,20,9,2.9,16.5,0.87,0.087,0.32,5,1.7,8.935542011,139
3,6,6,20,9,2.8,16.5,0.76,0.076,0.32,5,1.6,9.236572006,82
3,6,6,20,2,0.788,16.5,0.0576,0.0106,0.32,5,3.1,9,19
3,6,6,20,2,0.589,16.5,0.0425,0.016,0.32,5,2.5,9,34
3,6,6,20,2,0.815,16.5,0.0661,0.0292,0.32,5,1.2,9,61
3,6,6,20,2,0.949,16.5,0.127,0.0276,0.32,5,1.1,9,71
3,6,6,20,2,2,16.5,0.217,0.027,0.32,5,5.5,8.958607315,26
3,6,6,20,2,2,16.5,0.217,0.027,0.32,5,4.5,8.823908741,27
3,6,6,20,2,2,16.5,0.261,0.035,0.32,5,2.5,8.22184875,47
3,6,6,20,2,2.2,16.5,0.304,0.06,0.32,5,1.5,8.013228266,77
3,6,6,20,2,2.1,16.5,0.304,0.06,0.32,5,1.1,8.698970004,62
3,6,6,20,2,1.8,16.5,0.178,0.025,0.32,5,1.1,9.301029996,33
3,6,6,20,2,1.9,16.5,0.217,0.025,0.32,5,1,9.22184875,33
3,6,6,20,2,1.78,16.5,0.33,0.064,0.32,5,1.9,9.458420756,43
3,6,6,20,2,1.78,16.5,0.38,0.072,0.32,5,1.5,9.759450752,39
3,6,6,20,2,1.78,16.5,0.38,0.075,0.32,5,1,9.759450752,47
3,6,6,20,2,1.78,16.5,0.33,0.065,0.32,5,1,9.759450752,45
3,6,6,20,2,3.3,16.5,0.52,0.05,0.32,5,1.2,9.698970004,31
3,6,6,20,2,3.3,16.5,0.65,0.063,0.32,5,1.5,9.698970004,32
3,6,6,20,2,3.1,16.5,0.65,0.062,0.32,5,1.6,9.853871964,28
3,6,6,20,2,2.6,16.5,0.52,0.05,0.32,5,1.4,10.15490196,24
3,6,6,20,2,1.6,16.5,0.35,0.032,0.32,5,1.8,9.555955204,29
3,6,6,20,2,2.1,16.5,0.6,0.061,0.32,5,1.9,9.853871964,29
3,6,6,20,2,2.2,16.5,0.25,0.028,0.32,5,1.1,10,25
3,6,6,20,2,1.5,16.5,0.21,0.022,0.32,5,1.9,10.15490196,17
3,6,6,20,2,3.06,16.5,0.12,0.05,0.32,5,2.1,8.823908741,50
3,6,6,20,2,3.06,16.5,0.11,0.05,0.32,5,1.1,8.823908741,62
3,6,6,20,3,1.61,16.5,0.1,0.08,0.32,5,2,8.958607315,217
3,6,6,20,3,2.02,16.5,0.45,0.03,0.32,5,3.5,9.698970004,26
3,6,6,20,3,2.45,16.5,0.71,0.0343,0.32,5,1.8,9.853871964,27
3,6,6,20,3,1.72,16.5,0.4,0.0274,0.32,5,1.8,10.15490196,24
3,6,6,20,3,2.52,16.5,1,0.123,0.32,5,2.1,7.986152004,123
3,6,6,20,3,1.8,16.5,0.6087,0.0291,0.32,5,1.7,8.011262725,56
3,6,6,20,3,0.5,16.5,0.287,0.0157,0.32,5,1.9,7.063385738,62
3,6,6,20,3,1.42,16.5,0.4783,0.0252,0.32,5,1.6,7.811915626,59
3,6,6,20,3,1.22,16.5,0.413,0.0226,0.32,5,1.5,7.798876103,60
3,6,6,20,3,1.75,16.5,0.4565,0.0287,0.32,5,1.5,7.863660003,60
3,6,6,20,3,2.01,16.5,1.0586,0.1222,0.32,5,3.5,7.106238238,18
3,6,6,20,3,2,16.5,0.6609,0.0317,0.32,5,1.4,7.882463567,61
3,6,6,20,3,1.7,16.5,0.4348,0.0274,0.32,5,1.6,7.68268898,58
3,6,6,20,3,0.8,16.5,0.14,0.05,0.32,5,1.2,8.11577123,114
3,6,6,20,3,1.4,16.5,0.18,0.01,0.32,5,1.1,7.744727495,32
3,6,6,20,3,1.57,16.5,0.18,0.01,0.32,5,1.5,7.744727495,26
3,6,6,20,3,1.81,16.5,0.18,0.024,0.32,5,1.3,9.301029996,41
3,6,6,20,3,2.45,16.5,0.25,0.041,0.32,5,1.4,9.522878745,33
3,6,6,20,3,2.16,16.5,0.21,0.024,0.32,5,1.1,9.823908741,31
3,6,6,20,3,1.76,16.5,0.21,0.024,0.32,5,1.2,9.045757491,35
3,6,6,20,3,1.53,16.5,0.15,0.02,0.32,5,1.3,8.096910013,77
3,6,6,20,3,2.3,16.5,0.57,0.057,0.32,5,1.8,8.045757491,86
3,6,6,20,3,2.7,16.5,0.76,0.076,0.32,5,2.1,9.958607315,41
3,6,6,20,3,2.9,16.5,0.87,0.087,0.32,5,1.7,9.124938737,36
3,6,6,20,3,2.8,16.5,0.76,0.076,0.32,5,1.6,8.187086643,49
3,6,4,20,5,0.8,16.5,0.0576,0.0106,0.32,5,3.5,9,22
3,6,4,20,5,0.6,16.5,0.0425,0.016,0.32,5,2.8,9,35
3,6,4,20,5,0.82,16.5,0.0661,0.0292,0.32,5,1,9,55
3,6,4,20,5,0.96,16.5,0.127,0.0276,0.32,5,1.2,9,50
3,6,4,20,5,2.2,16.5,0.217,0.027,0.32,5,7.5,8.958607315,30
3,6,4,20,5,2.1,16.5,0.217,0.027,0.32,5,5.5,8.823908741,32
3,6,4,20,5,2.3,16.5,0.261,0.035,0.32,5,3.5,8.22184875,43
3,6,4,20,5,2.25,16.5,0.304,0.06,0.32,5,1.8,8.013228266,76
3,6,4,20,5,2.2,16.5,0.304,0.06,0.32,5,1,8.698970004,68
3,6,4,20,5,2,16.5,0.178,0.025,0.32,5,1,9.301029996,31
3,6,4,20,5,1.9,16.5,0.22,0.026,0.32,5,1,9.22184875,33
3,6,4,20,5,1.78,16.5,0.35,0.066,0.32,5,1.9,9.458420756,62
3,6,4,20,5,1.78,16.5,0.4,0.076,0.32,5,1.5,9.759450752,64
3,6,4,20,5,1.78,16.5,0.39,0.076,0.32,5,1,9.759450752,65
3,6,4,20,5,1.78,16.5,0.35,0.066,0.32,5,1,9.759450752,59
3,6,4,20,5,3.3,16.5,0.54,0.052,0.32,5,1.2,9.698970004,36
3,6,4,20,5,3.3,16.5,0.66,0.065,0.32,5,1.5,9.698970004,42
3,6,4,20,5,3.1,16.5,0.67,0.065,0.32,5,1.6,9.853871964,41
3,6,4,20,5,2.6,16.5,0.53,0.052,0.32,5,1.4,10.15490196,36
3,6,4,20,5,1.6,16.5,0.36,0.035,0.32,5,1.8,9.555955204,39
3,6,4,20,5,2.1,16.5,0.62,0.062,0.32,5,1.9,9.853871964,49
3,6,4,20,5,2.2,16.5,0.28,0.029,0.32,5,1.1,10,27
3,6,4,20,5,1.5,16.5,0.22,0.024,0.32,5,1.9,10.15490196,26
3,6,4,20,5,3.06,16.5,0.13,0.053,0.32,5,2.1,8.823908741,47
3,6,4,20,5,3.06,16.5,0.13,0.052,0.32,5,1.1,8.823908741,49
3,6,4,20,6,1.61,16.5,0.11,0.082,0.32,5,1.15,8.958607315,109
3,6,4,20,6,2.02,16.5,0.4696,0.031,0.32,5,3.5,9.698970004,34
3,6,4,20,6,2.45,16.5,0.7261,0.035,0.32,5,1.8,9.853871964,35
3,6,4,20,6,1.72,16.5,0.4087,0.028,0.32,5,1.8,10.15490196,33
3,6,4,20,6,2.52,16.5,1.0888,0.125,0.32,5,2.1,7.986152004,140
3,6,4,20,6,1.93,16.5,0.6087,0.0291,0.32,5,1.7,8,50
3,6,4,20,6,0.57,16.5,0.287,0.0157,0.32,5,1.9,7,61
3,6,4,20,6,1.52,16.5,0.4783,0.0252,0.32,5,1.6,7.698970004,54
3,6,4,20,6,1.28,16.5,0.413,0.0226,0.32,5,1.5,7.602059991,56
3,6,4,20,6,1.88,16.5,0.4565,0.0287,0.32,5,1.5,7.823908741,54
3,6,4,20,6,2.06,16.5,1.0586,0.1222,0.32,5,3.5,7.096910013,173
3,6,4,20,6,2.07,16.5,0.6609,0.0317,0.32,5,1.4,7.823908741,56
3,6,4,20,6,1.76,16.5,0.4348,0.0274,0.32,5,1.6,7.602059991,54
3,6,4,20,6,0.9,16.5,0.14,0.05,0.32,5,1.2,8,120
3,6,4,20,6,1.57,16.5,0.18,0.01,0.32,5,1.1,6.698970004,28
3,6,4,20,6,1.57,16.5,0.18,0.01,0.32,5,1.7,6.744727495,26
3,6,4,20,6,2.45,16.5,0.25,0.041,0.32,5,1.5,8.346787486,57
3,6,4,20,6,2.16,16.5,0.21,0.024,0.32,5,1.2,8.537602002,39
3,6,4,20,6,1.76,16.5,0.21,0.024,0.32,5,1.3,8.823908741,41
3,6,4,20,6,1.53,16.5,0.15,0.02,0.32,5,1.5,9.22184875,34
3,6,4,20,6,2.3,16.5,0.57,0.057,0.32,5,2,8.219538667,77
3,6,4,20,6,2.7,16.5,0.76,0.076,0.32,5,2.2,8.444180317,84
3,6,4,20,6,2.9,16.5,0.87,0.087,0.32,5,1.8,8.935542011,81
3,6,4,20,6,2.8,16.5,0.76,0.076,0.32,5,1.7,9.236572006,70
3,6,4,20,6,1.81,16.5,0.18,0.024,0.32,5,1.5,8.251811973,43
3,6,5,20,9,0.8,16.5,0.0582,0.01,0.32,5,3.5,9,40
3,6,5,20,9,0.6,16.5,0.0425,0.015,0.32,5,2.2,9,76
3,6,5,20,9,0.815,16.5,0.0661,0.028,0.32,5,1.2,9,120
3,6,5,20,9,0.97,16.5,0.127,0.026,0.32,5,1.2,9,102
3,6,5,20,9,2.1,16.5,0.217,0.025,0.32,5,7.5,8.958607315,53
3,6,5,20,9,2.1,16.5,0.217,0.0265,0.32,5,5.5,8.823908741,58
3,6,5,20,9,1.9,16.5,0.261,0.033,0.32,5,3.5,8.22184875,83
3,6,5,20,9,2.3,16.5,0.304,0.058,0.32,5,1.8,8.013228266,139
3,6,5,20,9,2.2,16.5,0.304,0.059,0.32,5,1,8.698970004,144
3,6,5,20,9,1.85,16.5,0.178,0.022,0.32,5,1,9.301029996,64
3,6,5,20,9,1.9,16.5,0.22,0.026,0.32,5,1.1,9.22184875,72
3,6,5,20,9,1.78,16.5,0.35,0.066,0.32,5,1.5,9.458420756,150
3,6,5,20,9,1.78,16.5,0.4,0.076,0.32,5,1.3,9.759450752,165
3,6,5,20,9,1.78,16.5,0.39,0.076,0.32,5,1.2,9.759450752,167
3,6,5,20,9,1.78,16.5,0.36,0.066,0.32,5,1.1,9.759450752,150
3,6,5,20,9,3.3,16.5,0.54,0.052,0.32,5,1.1,9.698970004,86
3,6,5,20,9,3.3,16.5,0.66,0.065,0.32,5,1.3,9.698970004,101
3,6,5,20,9,3.1,16.5,0.67,0.065,0.32,5,1.5,9.853871964,101
3,6,5,20,9,2.6,16.5,0.54,0.052,0.32,5,1.2,10.15490196,93
3,6,5,20,9,1.6,16.5,0.34,0.035,0.32,5,1.5,9.555955204,92
3,6,5,20,9,2.1,16.5,0.62,0.061,0.32,5,1.9,10,115
3,6,5,20,9,2.2,16.5,0.28,0.028,0.32,5,1.1,10.09691001,63
3,6,5,20,9,1.5,16.5,0.22,0.022,0.32,5,1.9,10.30103,55
3,6,5,20,9,3.06,16.5,0.13,0.05,0.32,5,2.1,8.602059991,95
3,6,5,20,9,3.06,16.5,0.13,0.05,0.32,5,1.1,9,100
3,6,5,20,8,1.61,16.5,0.11,0.08,0.32,5,1.15,9,266
3,6,5,20,8,2.02,16.5,0.4696,0.03,0.32,5,3.5,10,54
3,6,5,20,8,2.45,16.5,0.7261,0.0343,0.32,5,1.8,10.30103,55
3,6,5,20,8,1.72,16.5,0.4087,0.0274,0.32,5,1.8,10.39794001,55
3,6,5,20,8,2.52,16.5,1.0888,0.123,0.32,5,2.1,8,217
3,6,5,20,8,1.8,16.5,0.6087,0.0291,0.32,5,1.7,8.011262725,79
3,6,5,20,8,0.6,16.5,0.287,0.0157,0.32,5,1.9,7.063385738,85
3,6,5,20,8,1.6,16.5,0.4783,0.0252,0.32,5,1.6,7.811915626,77
3,6,5,20,8,1.2,16.5,0.413,0.0226,0.32,5,1.5,7.798876103,84
3,6,5,20,8,1.5,16.5,0.4565,0.0287,0.32,5,1.5,7.863660003,92
3,6,5,20,8,2.2,16.5,1.0586,0.1222,0.32,5,3.5,7.106238238,248
3,6,5,20,8,2.3,16.5,0.6609,0.0317,0.32,5,1.4,7.882463567,79
3,6,5,20,8,1.8,16.5,0.4348,0.0274,0.32,5,1.6,7.68268898,78
3,6,5,20,8,1,16.5,0.14,0.05,0.32,5,1.2,8.11577123,185
3,6,5,20,8,1.6,16.5,0.18,0.01,0.32,5,1.1,6.744727495,41
3,6,5,20,8,1.57,16.5,0.2,0.01,0.32,5,1.5,6.744727495,38
3,6,5,20,8,2.45,16.5,0.28,0.041,0.32,5,1.4,8.346787486,91
3,6,5,20,8,2.16,16.5,0.22,0.024,0.32,5,1.1,8.537602002,62
3,6,5,20,8,1.76,16.5,0.23,0.024,0.32,5,1.2,8.823908741,66
3,6,5,20,8,1.53,16.5,0.18,0.02,0.32,5,1.3,9.22184875,56
3,6,5,20,8,2.3,16.5,0.6,0.057,0.32,5,1.8,8.219538667,123
3,6,5,20,8,2.7,16.5,0.78,0.076,0.32,5,2.1,8.444180317,135
3,6,5,20,8,2.9,16.5,0.88,0.087,0.32,5,1.7,8.935542011,135
3,6,5,20,8,2.8,16.5,0.72,0.076,0.32,5,1.6,9.236572006,118
3,6,5,20,8,1.81,16.5,0.25,0.024,0.32,5,1.3,8.251811973,69
3,6,5,20,3,0.8,16.5,0.0582,0.01,0.32,5,1.1,9,28
3,6,5,20,3,0.6,16.5,0.0425,0.015,0.32,5,1.1,9,45
3,6,5,20,3,0.815,16.5,0.0661,0.028,0.32,5,1.1,9,58
3,6,5,20,3,0.97,16.5,0.127,0.026,0.32,5,1.1,9,47
3,6,5,20,3,2.1,16.5,0.217,0.025,0.32,5,1.1,9,34
3,6,5,20,3,2.1,16.5,0.217,0.0265,0.32,5,1.1,9,36
3,6,5,20,3,1.9,16.5,0.261,0.033,0.32,5,1.1,9,42
3,6,5,20,3,2.3,16.5,0.304,0.058,0.32,5,1.1,9,54
3,6,5,20,3,2.2,16.5,0.304,0.059,0.32,5,1.1,9,56
3,6,5,20,3,1.85,16.5,0.178,0.022,0.32,5,1.1,9,33
3,6,5,20,3,1.9,16.5,0.22,0.026,0.32,5,1.1,9,36
3,6,5,20,3,1.78,16.5,0.35,0.066,0.32,5,1.1,9,64
3,6,5,20,3,1.78,16.5,0.4,0.076,0.32,5,1.1,9,70
3,6,5,20,3,1.78,16.5,0.39,0.076,0.32,5,1.1,9,70
3,6,5,20,3,1.78,16.5,0.36,0.066,0.32,5,1.1,9,64
3,6,5,20,3,3.3,16.5,0.54,0.052,0.32,5,1.1,9,43
3,6,5,20,3,3.3,16.5,0.66,0.065,0.32,5,1.1,9,49
3,6,5,20,3,3.1,16.5,0.67,0.065,0.32,5,1.1,9,50
3,6,5,20,3,2.6,16.5,0.54,0.052,0.32,5,1.1,9,48
3,6,5,20,3,1.6,16.5,0.34,0.035,0.32,5,1.1,9,46
3,6,5,20,3,2.1,16.5,0.62,0.061,0.32,5,1.1,9,57
3,6,5,20,3,2.2,16.5,0.28,0.028,0.32,5,1.1,9,35
3,6,5,20,3,1.5,16.5,0.22,0.022,0.32,5,1.1,9,36
3,6,5,20,3,3.06,16.5,0.13,0.05,0.32,5,1.1,9,52
3,6,5,20,3,3.06,16.5,0.13,0.05,0.32,5,1.1,9,52
3,6,5,20,4,1.61,16.5,0.11,0.08,0.32,5,1.1,9,588
3,6,5,20,4,2.02,16.5,0.4696,0.03,0.32,5,1.1,9,43
3,6,5,20,4,2.45,16.5,0.7261,0.0343,0.32,5,1.1,9,43
3,6,5,20,4,1.72,16.5,0.4087,0.0274,0.32,5,1.1,9,43
3,6,5,20,4,2.52,16.5,1.0888,0.123,0.32,5,1.1,9,98
3,6,5,20,4,1.8,16.5,0.6087,0.0291,0.32,5,1.1,9,44
3,6,5,20,4,0.6,16.5,0.287,0.0157,0.32,5,1.1,9,43
3,6,5,20,4,1.6,16.5,0.4783,0.0252,0.32,5,1.1,9,43
3,6,5,20,4,1.2,16.5,0.413,0.0226,0.32,5,1.1,9,45
3,6,5,20,4,1.5,16.5,0.4565,0.0287,0.32,5,1.1,9,48
3,6,5,20,4,2.2,16.5,1.0586,0.1222,0.32,5,1.1,9,105
3,6,5,20,4,2.3,16.5,0.6609,0.0317,0.32,5,1.1,9,42
3,6,5,20,4,1.8,16.5,0.4348,0.0274,0.32,5,1.1,9,42
3,6,5,20,4,1,16.5,0.14,0.05,0.32,5,1.1,9,81
3,6,5,20,4,1.6,16.5,0.18,0.01,0.32,5,1.1,9,22
3,6,5,20,4,1.57,16.5,0.2,0.01,0.32,5,1.1,9,23
3,6,5,20,4,2.45,16.5,0.28,0.041,0.32,5,1.1,9,49
3,6,5,20,4,2.16,16.5,0.22,0.024,0.32,5,1.1,9,36
3,6,5,20,4,1.76,16.5,0.23,0.024,0.32,5,1.1,9,40
3,6,5,20,4,1.53,16.5,0.18,0.02,0.32,5,1.1,9,37
3,6,5,20,4,2.3,16.5,0.6,0.057,0.32,5,1.1,9,63
3,6,5,20,4,2.7,16.5,0.78,0.076,0.32,5,1.1,9,71
3,6,5,20,4,2.9,16.5,0.88,0.087,0.32,5,1.1,9,75
3,6,5,20,4,2.8,16.5,0.72,0.076,0.32,5,1.1,9,69
3,6,5,20,4,1.81,16.5,0.25,0.024,0.32,5,1.1,9,39
3,6,4,20,7,0.8,16.5,0.0576,0.0106,0.32,5,1.1,9,32
3,6,4,20,7,0.6,16.5,0.0425,0.016,0.32,5,1.1,9,51
3,6,4,20,7,0.82,16.5,0.0661,0.0292,0.32,5,1.1,9,75
3,6,4,20,7,0.96,16.5,0.127,0.0276,0.32,5,1.1,9,68
3,6,4,20,7,2.2,16.5,0.217,0.027,0.32,5,1.1,9,44
3,6,4,20,7,2.1,16.5,0.217,0.027,0.32,5,1.1,9,45
3,6,4,20,7,2.3,16.5,0.261,0.035,0.32,5,1.1,9,53
3,6,4,20,7,2.25,16.5,0.304,0.06,0.32,5,1.1,9,83
3,6,4,20,7,2.2,16.5,0.304,0.06,0.32,5,1.1,9,84
3,6,4,20,7,2,16.5,0.178,0.025,0.32,5,1.1,9,43
3,6,4,20,7,1.9,16.5,0.22,0.026,0.32,5,1.1,9,46
3,6,4,20,7,1.78,16.5,0.35,0.066,0.32,5,1.1,9,101
3,6,4,20,7,1.78,16.5,0.4,0.076,0.32,5,1.1,9,113
3,6,4,20,7,1.78,16.5,0.39,0.076,0.32,5,1.1,9,113
3,6,4,20,7,1.78,16.5,0.35,0.066,0.32,5,1.1,9,101
3,6,4,20,7,3.3,16.5,0.54,0.052,0.32,5,1.1,9,59
3,6,4,20,7,3.3,16.5,0.66,0.065,0.32,5,1.1,9,71
3,6,4,20,7,3.1,16.5,0.67,0.065,0.32,5,1.1,9,73
3,6,4,20,7,2.6,16.5,0.53,0.052,0.32,5,1.1,9,68
3,6,4,20,7,1.6,16.5,0.36,0.035,0.32,5,1.1,9,64
3,6,4,20,7,2.1,16.5,0.62,0.062,0.32,5,1.1,9,88
3,6,4,20,7,2.2,16.5,0.28,0.029,0.32,5,1.1,9,46
3,6,4,20,7,1.5,16.5,0.22,0.024,0.32,5,1.1,9,49
3,6,4,20,7,3.06,16.5,0.13,0.053,0.32,5,1.1,9,64
3,6,4,20,7,3.06,16.5,0.13,0.052,0.32,5,1.1,9,63
3,6,4,20,2,1.61,16.5,0.11,0.082,0.32,5,1.1,9,66
3,6,4,20,2,2.02,16.5,0.4696,0.031,0.32,5,1.1,9,24
3,6,4,20,2,2.45,16.5,0.7261,0.035,0.32,5,1.1,9,23
3,6,4,20,2,1.72,16.5,0.4087,0.028,0.32,5,1.1,9,24
3,6,4,20,2,2.52,16.5,1.0888,0.125,0.32,5,1.1,9,52
3,6,4,20,2,1.93,16.5,0.6087,0.0291,0.32,5,1.1,9,23
3,6,4,20,2,0.57,16.5,0.287,0.0157,0.32,5,1.1,9,24
3,6,4,20,2,1.52,16.5,0.4783,0.0252,0.32,5,1.1,9,23
3,6,4,20,2,1.28,16.5,0.413,0.0226,0.32,5,1.1,9,23
3,6,4,20,2,1.88,16.5,0.4565,0.0287,0.32,5,1.1,9,23
3,6,4,20,2,2.06,16.5,1.0586,0.1222,0.32,5,1.1,9,55
3,6,4,20,2,2.07,16.5,0.6609,0.0317,0.32,5,1.1,9,24
3,6,4,20,2,1.76,16.5,0.4348,0.0274,0.32,5,1.1,9,23
3,6,4,20,2,0.9,16.5,0.14,0.05,0.32,5,1.1,9,44
3,6,4,20,2,1.57,16.5,0.18,0.01,0.32,5,1.1,9,13
3,6,4,20,2,1.57,16.5,0.18,0.01,0.32,5,1.1,9,13
3,6,4,20,2,2.45,16.5,0.25,0.041,0.32,5,1.1,9,27
3,6,4,20,2,2.16,16.5,0.21,0.024,0.32,5,1.1,9,20
3,6,4,20,2,1.76,16.5,0.21,0.024,0.32,5,1.1,9,22
3,6,4,20,2,1.53,16.5,0.15,0.02,0.32,5,1.1,9,20
3,6,4,20,2,2.3,16.5,0.57,0.057,0.32,5,1.1,9,33
3,6,4,20,2,2.7,16.5,0.76,0.076,0.32,5,1.1,9,37
3,6,4,20,2,2.9,16.5,0.87,0.087,0.32,5,1.1,9,39
3,6,4,20,2,2.8,16.5,0.76,0.076,0.32,5,1.1,9,37
3,6,4,20,2,1.81,16.5,0.18,0.024,0.32,5,1.1,9,22
