Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 1 year
3,6,6,20,2,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,101
3,6,6,20,2,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,38
3,6,6,20,2,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,67
1,10,5,19,5,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,60
1,10,5,19,5,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,80
1,10,5,19,5,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,83
1,10,5,19,5,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,96
1,10,5,19,5,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,130
1,10,5,19,5,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,153
1,10,5,19,5,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,151
1,10,5,19,5,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,126
1,10,5,19,5,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,75
1,10,5,19,5,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,121
1,10,5,19,4,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,56
1,10,5,19,4,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,74
1,10,5,19,4,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,76
1,10,5,19,4,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,89
1,10,5,19,4,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,120
1,10,5,19,4,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,142
1,10,5,19,4,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,142
1,10,5,19,4,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,116
1,10,5,19,4,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,68
1,10,5,19,4,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,109
2,6,5,19,6,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,45
2,6,5,19,6,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,68
2,6,5,19,6,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,73
2,6,5,19,6,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,87
2,6,5,19,6,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,132
2,6,5,19,6,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,154
2,6,5,19,6,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,153
2,6,5,19,6,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,129
2,6,5,19,6,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,69
2,6,5,19,6,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,116
2,6,5,19,7,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,41
2,6,5,19,7,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,71
2,6,5,19,7,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,77
2,6,5,19,7,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,92
2,6,5,19,7,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,135
2,6,5,19,7,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,158
2,6,5,19,7,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,161
2,6,5,19,7,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,138
2,6,5,19,7,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,73
2,6,5,19,7,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,123
3,6,6,20,3,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,31
3,6,6,20,3,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,51
3,6,6,20,3,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,60
3,6,6,20,3,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,83
3,6,6,20,3,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,115
3,6,6,20,3,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,138
3,6,6,20,3,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,141
3,6,6,20,3,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,116
3,6,6,20,3,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,51
3,6,6,20,3,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,89
2,10,4,20,7,1.25,15.5,0.2,0.03,0.32,8,1.1,8.301029996,158
2,10,4,20,7,1.25,15.5,0.2,0.03,0.32,8,1.3,8.301029996,142
2,10,5,20,7,1.25,15.5,0.2,0.03,0.32,8,1.5,8.301029996,182
2,10,5,20,7,1.25,15.5,0.2,0.03,0.32,8,1.7,8.301029996,168
2,10,5,20,7,1.25,15.5,0.2,0.03,0.32,8,1.9,8.301029996,157
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.2,8.301029996,221
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.4,8.301029996,201
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.6,8.301029996,186
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.8,8.301029996,175
1,10,4,20,4,1.75,16.5,0.3,0.035,0.33,10,1.1,9,177
1,10,4,20,5,1.75,16.5,0.3,0.035,0.31,10,1.3,9,133
1,10,5,20,7,1.75,16.5,0.3,0.035,0.33,7.5,1.5,9,195
2,10,5,20,7,1.75,16.5,0.31,0.036,0.33,5,1.1,8.301029996,145
3,10,5,20,7,1.75,16.5,0.3,0.035,0.35,12,1.8,8.522878745,242
1,10,6,20,7,1.73,16.2,0.34,0.034,0.33,10,1.3,8.15490196,447
2,10,6,20,7,1.75,16.5,0.3,0.035,0.33,10,1.1,8,386
2,10,6,20,7,1.75,16.5,0.3,0.035,0.33,10,1.1,8.301029996,374
3,10,6,20,7,1.75,16.5,0.3,0.035,0.33,10,1.1,10,143
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,1.5,1.2,9,115
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,2.5,1.2,9,115
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,3.5,1.2,9,116
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,4.5,1.2,9,117
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,5.5,1.2,9,119
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,6.5,1.2,9,163
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,7.5,1.2,9,199
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,8.5,1.2,9,231
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,9.5,1.2,9,263
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,10.5,1.2,9,292
1,8,5,20,3,2.75,14.5,0.52,0.055,0.15,4,1.3,9,91
1,8,5,20,3,2.75,14.5,0.52,0.055,0.17,4,1.3,9,92
1,8,5,20,3,2.75,14.5,0.52,0.055,0.19,4,1.3,9,94
1,8,5,20,3,2.75,14.5,0.52,0.055,0.21,4,1.3,9,96
1,8,5,20,3,2.75,14.5,0.52,0.055,0.23,4,1.3,9,98
2,10,4,20,8,2.75,14.5,0.52,0.055,0.25,4,1.3,9,101
2,10,4,20,8,2.75,14.5,0.52,0.055,0.27,4,1.3,9,104
2,10,4,20,8,2.75,14.5,0.52,0.055,0.29,4,1.3,9,108
2,10,4,20,8,2.75,14.5,0.52,0.055,0.31,4,1.3,9,112
2,10,4,20,8,2.75,14.5,0.52,0.055,0.33,4,1.3,9,118
3,6,4,20,4,0.788,16.5,0.0576,0.0106,0.32,5,3.5,9,35
3,6,4,20,4,0.589,16.5,0.0425,0.016,0.32,5,2.8,9,58
3,6,4,20,4,0.815,16.5,0.0661,0.0292,0.32,5,1,9,98
3,6,4,20,4,0.949,16.5,0.127,0.0276,0.32,5,1.2,9,85
3,6,4,20,4,2,16.5,0.217,0.027,0.32,5,7.5,8.958607315,52
3,6,4,20,4,2,16.5,0.217,0.027,0.32,5,5.5,8.823908741,52
3,6,4,20,4,2,16.5,0.261,0.035,0.32,5,3.5,8.22184875,70
3,6,4,20,4,2.2,16.5,0.304,0.06,0.32,5,1.8,8.013228266,116
3,6,4,20,4,2.1,16.5,0.304,0.06,0.32,5,1,8.698970004,121
3,6,4,20,4,1.8,16.5,0.178,0.025,0.32,5,1,9.301029996,55
3,6,4,20,4,1.9,16.5,0.217,0.026,0.32,5,1,9.22184875,56
3,6,4,20,4,1.78,16.5,0.33,0.066,0.32,5,1.9,9.458420756,96
3,6,4,20,4,1.78,16.5,0.38,0.076,0.32,5,1.5,9.759450752,92
3,6,4,20,4,1.78,16.5,0.38,0.076,0.32,5,1,9.759450752,96
3,6,4,20,4,1.78,16.5,0.33,0.066,0.32,5,1,9.759450752,87
3,6,4,20,4,3.3,16.5,0.52,0.052,0.32,5,1.2,9.698970004,55
3,6,4,20,4,3.3,16.5,0.65,0.065,0.32,5,1.5,9.698970004,63
3,6,4,20,4,3.1,16.5,0.65,0.065,0.32,5,1.6,9.853871964,60
3,6,4,20,4,2.6,16.5,0.52,0.052,0.32,5,1.4,10.15490196,49
3,6,4,20,4,1.6,16.5,0.35,0.035,0.32,5,1.8,9.555955204,61
3,6,4,20,4,2.1,16.5,0.62,0.061,0.32,5,1.9,9.853871964,69
3,6,4,20,4,2.2,16.5,0.28,0.028,0.32,5,1.1,10,38
3,6,4,20,4,1.5,16.5,0.22,0.022,0.32,5,1.9,10.15490196,33
3,6,4,20,4,3.06,16.5,0.13,0.05,0.32,5,2.1,8.823908741,73
3,6,4,20,4,3.06,16.5,0.13,0.05,0.32,5,1.1,8.823908741,81
3,6,4,20,5,1.61,16.5,0.11,0.08,0.32,5,1.15,8.958607315,181
3,6,4,20,5,2.02,16.5,0.4696,0.03,0.32,5,3.5,9.698970004,47
3,6,4,20,5,2.45,16.5,0.7261,0.0343,0.32,5,1.8,9.853871964,47
3,6,4,20,5,1.72,16.5,0.4087,0.0274,0.32,5,1.8,10.15490196,42
3,6,4,20,5,2.52,16.5,1.0888,0.123,0.32,5,2.1,7.986152004,216
3,6,4,20,5,1.93,16.5,0.6087,0.0291,0.32,5,1.7,8.011262725,69
3,6,4,20,5,0.57,16.5,0.287,0.0157,0.32,5,1.9,7.063385738,71
3,6,4,20,5,1.52,16.5,0.4783,0.0252,0.32,5,1.6,7.811915626,71
3,6,4,20,5,1.28,16.5,0.413,0.0226,0.32,5,1.5,7.798876103,73
3,6,4,20,5,1.88,16.5,0.4565,0.0287,0.32,5,1.5,7.863660003,72
3,6,4,20,5,2.06,16.5,1.0586,0.1222,0.32,5,3.5,7.106238238,258
3,6,4,20,5,2.07,16.5,0.6609,0.0317,0.32,5,1.4,7.882463567,75
3,6,4,20,5,1.76,16.5,0.4348,0.0274,0.32,5,1.6,7.68268898,70
3,6,4,20,5,0.9,16.5,0.14,0.05,0.32,5,1.2,8.11577123,183
3,6,4,20,5,1.57,16.5,0.18,0.01,0.32,5,1.1,6.744727495,30
3,6,4,20,5,1.57,16.5,0.18,0.01,0.32,5,1.5,6.744727495,28
3,6,4,20,5,2.45,16.5,0.25,0.041,0.32,5,1.3,8.346787486,84
3,6,4,20,5,2.16,16.5,0.21,0.024,0.32,5,1.4,8.537602002,57
3,6,4,20,5,1.76,16.5,0.21,0.024,0.32,5,1.1,8.823908741,61
3,6,4,20,5,1.53,16.5,0.15,0.02,0.32,5,1.2,9.22184875,51
3,6,4,20,5,2.3,16.5,0.57,0.057,0.32,5,1.3,8.219538667,115
3,6,4,20,5,2.7,16.5,0.76,0.076,0.32,5,1.8,8.444180317,129
3,6,4,20,5,2.9,16.5,0.87,0.087,0.32,5,2.1,8.935542011,125
3,6,4,20,5,2.8,16.5,0.76,0.076,0.32,5,1.7,9.236572006,104
3,6,4,20,5,1.81,16.5,0.18,0.024,0.32,5,1.6,8.251811973,62
3,6,5,20,6,0.8,16.5,0.0582,0.0106,0.32,5,3.5,9,49
3,6,5,20,6,0.6,16.5,0.0425,0.017,0.32,5,2.2,9,95
3,6,5,20,6,0.815,16.5,0.0661,0.0292,0.32,5,1.2,9,139
3,6,5,20,6,0.97,16.5,0.127,0.0276,0.32,5,1.2,9,120
3,6,5,20,6,2.1,16.5,0.217,0.027,0.32,5,7.5,8.958607315,69
3,6,5,20,6,2.1,16.5,0.217,0.027,0.32,5,5.5,8.823908741,71
3,6,5,20,6,1.9,16.5,0.261,0.035,0.32,5,3.5,8.22184875,102
3,6,5,20,6,2.3,16.5,0.304,0.06,0.32,5,1.8,8.013228266,162
3,6,5,20,6,2.2,16.5,0.304,0.06,0.32,5,1,8.698970004,170
3,6,5,20,6,1.85,16.5,0.178,0.025,0.32,5,1,9.301029996,80
3,6,5,20,6,1.9,16.5,0.22,0.026,0.32,5,1,9.22184875,83
3,6,5,20,6,1.78,16.5,0.35,0.066,0.32,5,1.9,9.458420756,146
3,6,5,20,6,1.78,16.5,0.4,0.076,0.32,5,1.5,9.759450752,151
3,6,5,20,6,1.78,16.5,0.39,0.076,0.32,5,1,9.759450752,157
3,6,5,20,6,1.78,16.5,0.36,0.066,0.32,5,1,9.759450752,142
3,6,5,20,6,3.3,16.5,0.54,0.052,0.32,5,1.2,9.698970004,86
3,6,5,20,6,3.3,16.5,0.66,0.065,0.32,5,1.5,9.698970004,98
3,6,5,20,6,3.1,16.5,0.67,0.065,0.32,5,1.6,9.853871964,95
3,6,5,20,6,2.6,16.5,0.54,0.052,0.32,5,1.4,10.15490196,82
3,6,5,20,6,1.6,16.5,0.34,0.035,0.32,5,1.8,9.555955204,92
3,6,5,20,6,2.1,16.5,0.62,0.061,0.32,5,1.9,9.853871964,110
3,6,5,20,6,2.2,16.5,0.28,0.028,0.32,5,1.1,10,74
3,6,5,20,6,1.5,16.5,0.22,0.022,0.32,5,1.9,10.15490196,61
3,6,5,20,6,3.06,16.5,0.13,0.05,0.32,5,2.1,8.823908741,80
3,6,5,20,6,3.06,16.5,0.13,0.05,0.32,5,1.1,8.823908741,92
3,6,5,20,7,1.61,16.5,0.11,0.08,0.32,5,1.15,8.958607315,68
3,6,5,20,7,2.02,16.5,0.4696,0.03,0.32,5,3.5,9.698970004,70
3,6,5,20,7,2.45,16.5,0.7261,0.0343,0.32,5,1.8,9.853871964,71
3,6,5,20,7,1.72,16.5,0.4087,0.0274,0.32,5,1.8,10.15490196,66
3,6,5,20,7,2.52,16.5,1.0888,0.123,0.32,5,2.1,7.986152004,294
3,6,5,20,7,1.93,16.5,0.6087,0.0291,0.32,5,1.7,8.011262725,96
3,6,5,20,7,0.57,16.5,0.287,0.0157,0.32,5,1.9,7.063385738,99
3,6,5,20,7,1.52,16.5,0.4783,0.0252,0.32,5,1.6,7.811915626,99
3,6,5,20,7,1.28,16.5,0.413,0.0226,0.32,5,1.5,7.798876103,102
3,6,5,20,7,1.88,16.5,0.4565,0.0287,0.32,5,1.5,7.863660003,101
3,6,5,20,7,2.06,16.5,1.0586,0.1222,0.32,5,3.5,7.106238238,357
3,6,5,20,7,2.07,16.5,0.6609,0.0317,0.32,5,1.4,7.882463567,105
3,6,5,20,7,1.76,16.5,0.4348,0.0274,0.32,5,1.6,7.68268898,98
3,6,5,20,7,0.9,16.5,0.14,0.05,0.32,5,1.2,8.11577123,257
3,6,5,20,7,1.57,16.5,0.18,0.01,0.32,5,1.1,6.744727495,51
3,6,5,20,7,1.57,16.5,0.18,0.01,0.32,5,1.5,6.744727495,44
3,6,5,20,7,2.45,16.5,0.25,0.041,0.32,5,1.4,8.346787486,116
3,6,5,20,7,2.16,16.5,0.21,0.024,0.32,5,1.1,8.537602002,80
3,6,5,20,7,1.76,16.5,0.21,0.024,0.32,5,1.2,8.823908741,86
3,6,5,20,7,1.53,16.5,0.15,0.02,0.32,5,1.3,9.22184875,73
3,6,5,20,7,2.3,16.5,0.57,0.057,0.32,5,1.8,8.219538667,158
3,6,5,20,7,2.7,16.5,0.76,0.076,0.32,5,2.1,8.444180317,177
3,6,5,20,7,2.9,16.5,0.87,0.087,0.32,5,1.7,8.935542011,178
3,6,5,20,7,2.8,16.5,0.76,0.076,0.32,5,1.6,9.236572006,153
3,6,5,20,7,1.81,16.5,0.18,0.024,0.32,5,1.3,8.251811973,87
3,6,6,20,8,0.788,16.5,0.0576,0.0106,0.32,5,3.8,9,61
3,6,6,20,8,0.589,16.5,0.0425,0.016,0.32,5,2.8,9,101
3,6,6,20,8,0.815,16.5,0.0661,0.0292,0.32,5,1.5,9,188
3,6,6,20,8,0.949,16.5,0.127,0.0276,0.32,5,1.2,9,243
3,6,6,20,8,2,16.5,0.217,0.027,0.32,5,7.5,8.958607315,90
3,6,6,20,8,2,16.5,0.217,0.027,0.32,5,5.5,8.823908741,90
3,6,6,20,8,2,16.5,0.261,0.035,0.32,5,3.5,8.22184875,123
3,6,6,20,8,2.2,16.5,0.304,0.06,0.32,5,1.8,8.013228266,208
3,6,6,20,8,2.1,16.5,0.304,0.06,0.32,5,1,8.698970004,223
3,6,6,20,8,1.8,16.5,0.178,0.025,0.32,5,1,9.301029996,106
3,6,6,20,8,1.9,16.5,0.217,0.026,0.32,5,1,9.22184875,107
3,6,6,20,8,1.78,16.5,0.33,0.066,0.32,5,1.9,9.455931956,191
3,6,6,20,8,1.78,16.5,0.38,0.076,0.32,5,1.5,9.759450752,201
3,6,6,20,8,1.78,16.5,0.38,0.076,0.32,5,1,9.759450752,210
3,6,6,20,8,1.78,16.5,0.33,0.066,0.32,5,1,9.759450752,190
3,6,6,20,8,3.3,16.5,0.52,0.052,0.32,5,1.2,9.698970004,113
3,6,6,20,8,3.3,16.5,0.65,0.065,0.32,5,1.5,9.698970004,129
3,6,6,20,8,3.1,16.5,0.65,0.065,0.32,5,1.6,9.853871964,126
3,6,6,20,8,2.6,16.5,0.52,0.052,0.32,5,1.4,10.15490196,110
3,6,6,20,8,1.6,16.5,0.35,0.035,0.32,5,1.8,9.555955204,119
3,6,6,20,8,2.1,16.5,0.62,0.061,0.32,5,1.9,9.853871964,147
3,6,6,20,8,2.2,16.5,0.28,0.028,0.32,5,1.1,10,82
3,6,6,20,8,1.5,16.5,0.22,0.022,0.32,5,1.9,10.15490196,71
3,6,6,20,8,3.06,16.5,0.13,0.05,0.32,5,2.1,8.823908741,129
3,6,6,20,8,3.06,16.5,0.13,0.05,0.32,5,1.1,8.823908741,152
3,6,6,20,9,1.61,16.5,0.11,0.08,0.32,5,1.15,8.958607315,1358
3,6,6,20,9,2.02,16.5,0.4696,0.03,0.32,5,3.5,7.726026996,88
3,6,6,20,9,2.45,16.5,0.7261,0.0343,0.32,5,1.8,8.680269506,91
3,6,6,20,9,1.72,16.5,0.4087,0.0274,0.32,5,1.8,7.731422028,86
3,6,6,20,9,2.52,16.5,1.0888,0.123,0.32,5,2.1,7.986152004,360
3,6,6,20,9,1.93,16.5,0.6087,0.0291,0.32,5,1.7,8.011262725,117
3,6,6,20,9,0.57,16.5,0.287,0.0157,0.32,5,1.9,7.063385738,123
3,6,6,20,9,1.52,16.5,0.4783,0.0252,0.32,5,1.6,7.811915626,121
3,6,6,20,9,1.28,16.5,0.413,0.0226,0.32,5,1.5,7.798876103,125
3,6,6,20,9,1.88,16.5,0.4565,0.0287,0.32,5,1.5,7.863660003,124
3,6,6,20,9,2.06,16.5,1.0586,0.1222,0.32,5,3.5,7.106238238,433
3,6,6,20,9,2.07,16.5,0.6609,0.0317,0.32,5,1.4,7.882463567,130
3,6,6,20,9,1.76,16.5,0.4348,0.0274,0.32,5,1.6,7.68268898,121
3,6,6,20,9,0.9,16.5,0.14,0.05,0.32,5,1.2,8.11577123,320
3,6,6,20,9,1.57,16.5,0.18,0.01,0.32,5,1.1,6.744727495,70
3,6,6,20,9,1.57,16.5,0.18,0.01,0.32,5,1.5,6.744727495,60
3,6,6,20,9,1.81,16.5,0.18,0.024,0.32,5,1.3,8.251811973,144
3,6,6,20,9,2.45,16.5,0.25,0.041,0.32,5,1.4,8.346787486,102
3,6,6,20,9,2.16,16.5,0.21,0.024,0.32,5,1.1,8.537602002,108
3,6,6,20,9,1.76,16.5,0.21,0.024,0.32,5,1.2,8.823908741,93
3,6,6,20,9,1.53,16.5,0.15,0.02,0.32,5,1.3,9.22184875,195
3,6,6,20,9,2.3,16.5,0.57,0.057,0.32,5,1.8,8.219538667,218
